TeamNameSpelling,TeamID,,,TEAM,Lower,ID,,,,,,,,,,
north-carolina-wilmington,1423,,,Stephen F. Austin,stephen f. austin,1372,,,,,,,,,,
north-dakota,1315,,,Florida A&M,florida a&m,1197,,,,,,,,,,
north-dakota-st,1295,,,Mount St. Mary's,mount st. mary's,1291,,,,,,,,,,
north-dakota-state,1295,,,UC Riverside,uc riverside,1415,,,,,,,,,,
north-florida,1316,,,Jackson St.,jackson st.,1238,,,,,,,,,,
north-texas,1317,,,Central Connecticut,central connecticut,1148,,,,,,,,,,
northeastern,1318,,,Portland,portland,1339,,,,,,,,,,
northeastern illinois,1302,,,McNeese St.,mcneese st.,1270,,,,,,,,,,
northern ariz.,1319,,,Bryant,bryant,1136,,,,,,,,,,
northern arizona,1319,,,SIU Edwardsville,siu edwardsville,1188,,,,,,,,,,
northern colo.,1294,,,Manhattan,manhattan,1264,,,,,,,,,,
northern colorado,1294,,,Binghamton,binghamton,1127,,,,,,,,,,
northern ill.,1296,,,Tennessee Tech,tennessee tech,1399,,,,,,,,,,
northern illinois,1296,,,Cal Poly,cal poly,1142,,,,,,,,,,
northern iowa,1320,,,Stetson,stetson,1391,,,,,,,,,,
northern kentucky,1297,,,Southern,southern,1380,,,,,,,,,,
northern ky.,1297,,,Alabama St.,alabama st.,1106,,,,,,,,,,
northern-ariz,1319,,,Arkansas Pine Bluff,arkansas pine bluff,1115,,,,,,,,,,
northern-arizona,1319,,,Maine,maine,1263,,,,,,,,,,
northern-colo,1294,,,USC Upstate,usc upstate,1367,,,,,,,,,,
northern-colorado,1294,,,Kennesaw St.,kennesaw st.,1244,,,,,,,,,,
northern-ill,1296,,,Morgan St.,morgan st.,1288,,,,,,,,,,
northern-illinois,1296,,,San Jose St.,san jose st.,1363,,,,,,,,,,
northern-iowa,1320,,,South Carolina St.,south carolina st.,1354,,,,,,,,,,
northern-kentucky,1297,,,Incarnate Word,incarnate word,1230,,,,,,,,,,
northern-ky,1297,,,Northwestern St.,northwestern st.,1322,,,,,,,,,,
northwestern,1321,,,Idaho,idaho,1225,,,,,,,,,,
northwestern la,1322,,,Savannah St.,savannah st.,1366,,,,,,,,,,
northwestern st.,1322,,,Coppin St.,coppin st.,1164,,,,,,,,,,
northwestern state,1322,,,Alabama A&M,alabama a&m,1105,,,,,,,,,,
northwestern-st,1322,,,UNC Asheville,unc asheville,1421,,,,,,,,,,
northwestern-state,1322,,,Mississippi Valley St.,mississippi valley st.,1290,,,,,,,,,,
notre dame,1323,,,Alcorn St.,alcorn st.,1108,,,,,,,,,,
notre-dame,1323,,,New Hampshire,new hampshire,1306,,,,,,,,,,
oakland,1324,,,Chicago St.,chicago st.,1152,,,,,,,,,,
ohio,1325,,,Delaware St.,delaware st.,1175,,,,,,,,,,
ohio st,1326,,,Maryland Eastern Shore,maryland eastern shore,1271,,,,,,,,,,
ohio st.,1326,,,Virginia,virginia,1438,,,,,,,,,,
ohio state,1326,,,Villanova,villanova,1437,,,,,,,,,,
ohio-st,1326,,,Duke,duke,1181,,,,,,,,,,
ohio-state,1326,,,Purdue,purdue,1345,,,,,,,,,,
okla city,1327,,,Cincinnati,cincinnati,1153,,,,,,,,,,
oklahoma,1328,,,Michigan St.,michigan st.,1277,,,,,,,,,,
oklahoma city,1327,,,Kansas,kansas,1242,,,,,,,,,,
oklahoma st,1329,,,North Carolina,north carolina,1314,,,,,,,,,,
oklahoma st.,1329,,,West Virginia,west virginia,1452,,,,,,,,,,
oklahoma state,1329,,,Gonzaga,gonzaga,1211,,,,,,,,,,
oklahoma-st,1329,,,Ohio St.,ohio st.,1326,,,,,,,,,,
oklahoma-state,1329,,,Texas Tech,texas tech,1403,,,,,,,,,,
old dominion,1330,,,Xavier,xavier,1462,,,,,,,,,,
old-dominion,1330,,,Tennessee,tennessee,1397,,,,,,,,,,
ole miss,1279,,,Michigan,michigan,1276,,,,,,,,,,
ole-miss,1279,,,Florida,florida,1196,,,,,,,,,,
omaha,1303,,,Creighton,creighton,1166,,,,,,,,,,
oral roberts,1331,,,Butler,butler,1139,,,,,,,,,,
oral-roberts,1331,,,Auburn,auburn,1120,,,,,,,,,,
oregon,1332,,,Houston,houston,1222,,,,,,,,,,
oregon st,1333,,,Kentucky,kentucky,1246,,,,,,,,,,
oregon st.,1333,,,Penn St.,penn st.,1336,,,,,,,,,,
oregon state,1333,,,Seton Hall,seton hall,1371,,,,,,,,,,
oregon-st,1333,,,Clemson,clemson,1155,,,,,,,,,,
oregon-state,1333,,,TCU,tcu,1395,,,,,,,,,,
pacific,1334,,,Wichita St.,wichita st.,1455,,,,,,,,,,
penn,1335,,,Texas A&M,texas a&m,1401,,,,,,,,,,
penn st,1336,,,Miami FL,miami fl,1274,,,,,,,,,,
penn st.,1336,,,Arizona,arizona,1112,,,,,,,,,,
penn state,1336,,,Missouri,missouri,1281,,,,,,,,,,
penn-st,1336,,,Kansas St.,kansas st.,1243,,,,,,,,,,
penn-state,1336,,,Texas,texas,1400,,,,,,,,,,
pennsylvania,1335,,,Maryland,maryland,1268,,,,,,,,,,
pepperdine,1337,,,Oklahoma,oklahoma,1328,,,,,,,,,,
pfw,1236,,,Louisville,louisville,1257,,,,,,,,,,
pitt,1338,,,Arkansas,arkansas,1116,,,,,,,,,,
pittsburgh,1338,,,Florida St.,florida st.,1199,,,,,,,,,,
portland,1339,,,Saint Mary's,saint mary's,1388,,,,,,,,,,
portland st,1340,,,Nevada,nevada,1305,,,,,,,,,,
portland st.,1340,,,Virginia Tech,virginia tech,1439,,,,,,,,,,
portland state,1340,,,USC,usc,1425,,,,,,,,,,
portland-st,1340,,,Oklahoma St.,oklahoma st.,1329,,,,,,,,,,
portland-state,1340,,,Baylor,baylor,1124,,,,,,,,,,
prairie view,1341,,,Marquette,marquette,1266,,,,,,,,,,
prairie view a&m,1341,,,San Diego St.,san diego st.,1361,,,,,,,,,,
prairie-view,1341,,,Notre Dame,notre dame,1323,,,,,,,,,,
prairie-view-am,1341,,,Arizona St.,arizona st.,1113,,,,,,,,,,
presbyterian,1342,,,Nebraska,nebraska,1304,,,,,,,,,,
princeton,1343,,,Syracuse,syracuse,1393,,,,,,,,,,
providence,1344,,,Boise St.,boise st.,1129,,,,,,,,,,
purdue,1345,,,Rhode Island,rhode island,1348,,,,,,,,,,
purdue fort wayne,1236,,,Davidson,davidson,1172,,,,,,,,,,
quinnipiac,1346,,,North Carolina St.,north carolina st.,1301,,,,,,,,,,
radford,1347,,,Middle Tennessee,middle tennessee,1292,,,,,,,,,,
rhode island,1348,,,New Mexico St.,new mexico st.,1308,,,,,,,,,,
rhode-island,1348,,,Mississippi St.,mississippi st.,1280,,,,,,,,,,
rice,1349,,,UCLA,ucla,1417,,,,,,,,,,
richmond,1350,,,Alabama,alabama,1104,,,,,,,,,,
rider,1351,,,Providence,providence,1344,,,,,,,,,,
robert morris,1352,,,LSU,lsu,1261,,,,,,,,,,
robert-morris,1352,,,Loyola Chicago,loyola chicago,1260,,,,,,,,,,
rutgers,1353,,,Georgia,georgia,1208,,,,,,,,,,
s carolina st,1354,,,South Dakota St.,south dakota st.,1355,,,,,,,,,,
s carolina state,1354,,,Utah,utah,1428,,,,,,,,,,
s dakota st,1355,,,Western Kentucky,western kentucky,1443,,,,,,,,,,
s illinois,1356,,,Louisiana Lafayette,louisiana lafayette,1418,,,,,,,,,,
sacramento st.,1170,,,Old Dominion,old dominion,1330,,,,,,,,,,
sacramento state,1170,,,St. John's,st. john's,1385,,,,,,,,,,
sacramento-st,1170,,,Oregon,oregon,1332,,,,,,,,,,
sacramento-state,1170,,,South Dakota,south dakota,1377,,,,,,,,,,
sacred heart,1357,,,Buffalo,buffalo,1138,,,,,,,,,,
sacred-heart,1357,,,Fresno St.,fresno st.,1201,,,,,,,,,,
Saint Bonaventure,1382,,,Georgetown,georgetown,1207,,,,,,,,,,
Saint Francis (NY),1383,,,Indiana,indiana,1231,,,,,,,,,,
saint francis (pa),1384,,,Northwestern,northwestern,1321,,,,,,,,,,
Saint John`s,1385,,,South Carolina,south carolina,1376,,,,,,,,,,
saint joseph's,1386,,,Wisconsin,wisconsin,1458,,,,,,,,,,
saint joseph`s,1386,,,St. Bonaventure,st. bonaventure,1382,,,,,,,,,,
saint joseph’s,1386,,,Murray St.,murray st.,1293,,,,,,,,,,
saint louis,1387,,,Boston College,boston college,1130,,,,,,,,,,
saint mary's,1388,,,SMU,smu,1374,,,,,,,,,,
saint mary's (ca),1388,,,BYU,byu,1140,,,,,,,,,,
Saint Mary`s,1388,,,Wake Forest,wake forest,1448,,,,,,,,,,
saint peter's,1389,,,Illinois,illinois,1228,,,,,,,,,,
saint peter`s,1389,,,Stanford,stanford,1390,,,,,,,,,,
saint peter’s,1389,,,Iowa St.,iowa st.,1235,,,,,,,,,,
Saint Thomas (Minn.),1472,,,Montana,montana,1285,,,,,,,,,,
saint-francis-pa,1384,,,Northern Kentucky,northern kentucky,1297,,,,,,,,,,
saint-josephs,1386,,,Belmont,belmont,1125,,,,,,,,,,
saint-louis,1387,,,Vanderbilt,vanderbilt,1435,,,,,,,,,,
saint-marys,1388,,,Iowa,iowa,1234,,,,,,,,,,
saint-marys-ca,1388,,,DePaul,depaul,1177,,,,,,,,,,
saint-peters,1389,,,Temple,temple,1396,,,,,,,,,,
saintlouis,1387,,,Vermont,vermont,1436,,,,,,,,,,
Sam Houston,1358,,,UNC Greensboro,unc greensboro,1422,,,,,,,,,,
sam houston st,1358,,,UNLV,unlv,1424,,,,,,,,,,
sam houston st.,1358,,,Minnesota,minnesota,1278,,,,,,,,,,
sam houston state,1358,,,Mississippi,mississippi,1279,,,,,,,,,,
sam-houston-st,1358,,,Furman,furman,1202,,,,,,,,,,
sam-houston-state,1358,,,Grand Canyon,grand canyon,1213,,,,,,,,,,
samford,1359,,,East Tennessee St.,east tennessee st.,1190,,,,,,,,,,
san diego,1360,,,Utah Valley,utah valley,1430,,,,,,,,,,
san diego st,1361,,,Washington,washington,1449,,,,,,,,,,
san diego st.,1361,,,Georgia St.,georgia st.,1209,,,,,,,,,,
san diego state,1361,,,Tulsa,tulsa,1409,,,,,,,,,,
san francisco,1362,,,Oregon St.,oregon st.,1333,,,,,,,,,,
san jose st,1363,,,Northern Iowa,northern iowa,1320,,,,,,,,,,
san jose st.,1363,,,UAB,uab,1412,,,,,,,,,,
san jose state,1363,,,Colorado,colorado,1160,,,,,,,,,,
san-diego,1360,,,Northeastern,northeastern,1318,,,,,,,,,,
san-diego-st,1361,,,San Diego,san diego,1360,,,,,,,,,,
san-diego-state,1361,,,Penn,penn,1335,,,,,,,,,,
san-francisco,1362,,,Missouri St.,missouri st.,1283,,,,,,,,,,
san-jose-st,1363,,,Stephen F. Austin,stephen f. austin,1372,,,,,,,,,,
san-jose-state,1363,,,Bucknell,bucknell,1137,,,,,,,,,,
santa barbara,1364,,,New Mexico,new mexico,1307,,,,,,,,,,
santa clara,1365,,,Northern Colorado,northern colorado,1294,,,,,,,,,,
santa-clara,1365,,,Georgia Tech,georgia tech,1210,,,,,,,,,,
savannah st,1366,,,Marshall,marshall,1267,,,,,,,,,,
savannah st.,1366,,,Toledo,toledo,1405,,,,,,,,,,
savannah state,1366,,,UCF,ucf,1416,,,,,,,,,,
savannah-st,1366,,,Bradley,bradley,1133,,,,,,,,,,
savannah-state,1366,,,UC Santa Barbara,uc santa barbara,1364,,,,,,,,,,
sc state,1354,,,Saint Joseph's,saint joseph's,1386,,,,,,,,,,
sc upstate,1367,,,Rutgers,rutgers,1353,,,,,,,,,,
sd state,1361,,,Eastern Washington,eastern washington,1186,,,,,,,,,,
se louisiana,1368,,,Wyoming,wyoming,1461,,,,,,,,,,
se missouri st,1369,,,UT Arlington,ut arlington,1426,,,,,,,,,,
se missouri st.,1369,,,VCU,vcu,1433,,,,,,,,,,
se missouri st.(se,1369,,,La Salle,la salle,1247,,,,,,,,,,
se missouri state,1369,,,Florida Gulf Coast,florida gulf coast,1195,,,,,,,,,,
seattle,1370,,,Wright St.,wright st.,1460,,,,,,,,,,
seattle u,1370,,,Evansville,evansville,1191,,,,,,,,,,
seattle-u,1370,,,Dayton,dayton,1173,,,,,,,,,,
seton hall,1371,,,Utah St.,utah st.,1429,,,,,,,,,,
seton-hall,1371,,,UC Davis,uc davis,1413,,,,,,,,,,
sf austin,1372,,,Louisiana Tech,louisiana tech,1256,,,,,,,,,,
sfa,1372,,,Indiana St.,indiana st.,1232,,,,,,,,,,
siena,1373,,,Saint Louis,saint louis,1387,,,,,,,,,,
siu - edwardsville,1188,,,Southern Illinois,southern illinois,1356,,,,,,,,,,
siu edwardsville,1188,,,Idaho,idaho,1225,,,,,,,,,,
siu-edwardsville,1188,,,Illinois St.,illinois st.,1229,,,,,,,,,,
siue,1188,,,Drake,drake,1179,,,,,,,,,,
sju (pa),1386,,,Harvard,harvard,1217,,,,,,,,,,
smu,1374,,,College of Charleston,college of charleston,1158,,,,,,,,,,
south ala.,1375,,,San Francisco,san francisco,1362,,,,,,,,,,
south alabama,1375,,,Albany,albany,1107,,,,,,,,,,
south carolina,1376,,,Eastern Michigan,eastern michigan,1185,,,,,,,,,,
south carolina st.,1354,,,Iona,iona,1233,,,,,,,,,,
south carolina state,1354,,,UC Irvine,uc irvine,1414,,,,,,,,,,
south carolina upstat,1367,,,Jacksonville St.,jacksonville st.,1240,,,,,,,,,,
south carolina upstate,1367,,,Canisius,canisius,1145,,,,,,,,,,
south dakota,1377,,,Mercer,mercer,1273,,,,,,,,,,
south dakota st.,1355,,,Rider,rider,1351,,,,,,,,,,
south dakota state,1355,,,Georgia Southern,georgia southern,1204,,,,,,,,,,
south fla.,1378,,,Memphis,memphis,1272,,,,,,,,,,
south florida,1378,,,UTSA,utsa,1427,,,,,,,,,,
south-ala,1375,,,Lipscomb,lipscomb,1252,,,,,,,,,,
south-alabama,1375,,,Portland St.,portland st.,1340,,,,,,,,,,
south-carolina,1376,,,Wofford,wofford,1459,,,,,,,,,,
south-carolina-st,1354,,,Oakland,oakland,1324,,,,,,,,,,
south-carolina-state,1354,,,Princeton,princeton,1343,,,,,,,,,,
south-carolina-upstate,1367,,,Hofstra,hofstra,1220,,,,,,,,,,
south-dakota,1377,,,Tulane,tulane,1408,,,,,,,,,,
south-dakota-st,1355,,,Central Michigan,central michigan,1141,,,,,,,,,,
south-dakota-state,1355,,,Towson,towson,1406,,,,,,,,,,
south-fla,1378,,,Valparaiso,valparaiso,1434,,,,,,,,,,
south-florida,1378,,,Weber St.,weber st.,1451,,,,,,,,,,
southeast missouri state,1369,,,Seattle,seattle,1370,,,,,,,,,,
southeast mo. st.,1369,,,Ball St.,ball st.,1123,,,,,,,,,,
southeast-missouri-state,1369,,,Troy,troy,1407,,,,,,,,,,
southeast-mo-st,1369,,,William & Mary,william & mary,1456,,,,,,,,,,
southeastern la.,1368,,,Pacific,pacific,1334,,,,,,,,,,
southeastern louisiana,1368,,,North Dakota St.,north dakota st.,1295,,,,,,,,,,
southeastern-la,1368,,,Ohio,ohio,1325,,,,,,,,,,
southeastern-louisiana,1368,,,Duquesne,duquesne,1182,,,,,,,,,,
southern,1380,,,George Washington,george washington,1203,,,,,,,,,,
southern california,1425,,,Washington St.,washington st.,1450,,,,,,,,,,
southern ill.,1356,,,Cal St. Fullerton,cal st. fullerton,1168,,,,,,,,,,
southern illinois,1356,,,Winthrop,winthrop,1457,,,,,,,,,,
southern illinois-edwardsville,1188,,,Fort Wayne,fort wayne,1236,,,,,,,,,,
southern methodist,1374,,,Austin Peay,austin peay,1122,,,,,,,,,,
southern miss,1379,,,Connecticut,connecticut,1163,,,,,,,,,,
southern miss.,1379,,,Liberty,liberty,1251,,,,,,,,,,
southern mississippi,1379,,,Richmond,richmond,1350,,,,,,,,,,
southern u,1380,,,North Texas,north texas,1317,,,,,,,,,,
southern u.,1380,,,Radford,radford,1347,,,,,,,,,,
southern un,1380,,,Hawaii,hawaii,1218,,,,,,,,,,
southern univ,1380,,,Nicholls St.,nicholls st.,1311,,,,,,,,,,
southern utah,1381,,,Monmouth,monmouth,1284,,,,,,,,,,
southern-california,1425,,,Miami OH,miami oh,1275,,,,,,,,,,
southern-ill,1356,,,Western Michigan,western michigan,1444,,,,,,,,,,
southern-illinois,1356,,,UNC Asheville,unc asheville,1421,,,,,,,,,,
southern-illinois-edwardsville,1188,,,Wagner,wagner,1447,,,,,,,,,,
southern-methodist,1374,,,Southeastern Louisiana,southeastern louisiana,1368,,,,,,,,,,
southern-miss,1379,,,Massachusetts,massachusetts,1269,,,,,,,,,,
southern-mississippi,1379,,,Yale,yale,1463,,,,,,,,,,
southern-u,1380,,,UMBC,umbc,1420,,,,,,,,,,
southern-university,1380,,,Southern Miss,southern miss,1379,,,,,,,,,,
southern-utah,1381,,,Long Beach St.,long beach st.,1253,,,,,,,,,,
southwest missouri state,1283,,,Illinois Chicago,illinois chicago,1227,,,,,,,,,,
st bonaventure,1382,,,Colgate,colgate,1159,,,,,,,,,,
st francis (ny),1383,,,Coastal Carolina,coastal carolina,1157,,,,,,,,,,
st francis (pa),1384,,,Texas St.,texas st.,1402,,,,,,,,,,
st francis ny,1383,,,Kent St.,kent st.,1245,,,,,,,,,,
st francis pa,1384,,,Central Arkansas,central arkansas,1146,,,,,,,,,,
st john's,1385,,,Denver,denver,1176,,,,,,,,,,
st john's (ny),1385,,,Milwaukee,milwaukee,1454,,,,,,,,,,
st joseph's,1386,,,FIU,fiu,1198,,,,,,,,,,
st joseph's pa,1386,,,Lamar,lamar,1249,,,,,,,,,,
st louis,1387,,,Appalachian St.,appalachian st.,1111,,,,,,,,,,
st mary's (ca),1388,,,Colorado St.,colorado st.,1161,,,,,,,,,,
st mary's ca,1388,,,Idaho St.,idaho st.,1226,,,,,,,,,,
st peter's,1389,,,South Alabama,south alabama,1375,,,,,,,,,,
St Thomas MN,1472,,,Louisiana Monroe,louisiana monroe,1419,,,,,,,,,,
st-bonaventure,1382,,,Columbia,columbia,1162,,,,,,,,,,
st-francis-brooklyn,1383,,,Pittsburgh,pittsburgh,1338,,,,,,,,,,
st-francis-ny,1383,,,Fairfield,fairfield,1193,,,,,,,,,,
st-francis-pa,1384,,,Tennessee St.,tennessee st.,1398,,,,,,,,,,
st-johns,1385,,,Stony Brook,stony brook,1392,,,,,,,,,,
st-johns-ny,1385,,,Saint Peter's,saint peter's,1389,,,,,,,,,,
st-josephs-pa,1386,,,St. Francis PA,st. francis pa,1384,,,,,,,,,,
st-marys-ca,1388,,,Niagara,niagara,1310,,,,,,,,,,
st-peters,1389,,,George Mason,george mason,1206,,,,,,,,,,
st. bonaventure,1382,,,Akron,akron,1103,,,,,,,,,,
st. francis (bkn),1383,,,NJIT,njit,1312,,,,,,,,,,
st. francis (ny),1383,,,Manhattan,manhattan,1264,,,,,,,,,,
st. francis (pa),1384,,,Campbell,campbell,1144,,,,,,,,,,
st. francis brooklyn,1383,,,Hartford,hartford,1216,,,,,,,,,,
st. francis-ny,1383,,,Tennessee Tech,tennessee tech,1399,,,,,,,,,,
st. john's,1385,,,Bowling Green,bowling green,1132,,,,,,,,,,
st. john's (ny),1385,,,Navy,navy,1298,,,,,,,,,,
st. john`s (ny),1385,,,James Madison,james madison,1241,,,,,,,,,,
st. john’s,1385,,,Oral Roberts,oral roberts,1331,,,,,,,,,,
st. joseph's,1386,,,Sam Houston St.,sam houston st.,1358,,,,,,,,,,
st. joseph's pa,1386,,,Delaware,delaware,1174,,,,,,,,,,
st. mary's,1388,,,Air Force,air force,1102,,,,,,,,,,
st. mary`s (ca),1388,,,California,california,1143,,,,,,,,,,
st. peter's,1389,,,Lehigh,lehigh,1250,,,,,,,,,,
stanford,1390,,,Elon,elon,1189,,,,,,,,,,
stephen f. austin,1372,,,Loyola Marymount,loyola marymount,1258,,,,,,,,,,
stephen-f-austin,1372,,,UTEP,utep,1431,,,,,,,,,,
stetson,1391,,,Eastern Illinois,eastern illinois,1183,,,,,,,,,,
stony brook,1392,,,Cal St. Bakersfield,cal st. bakersfield,1167,,,,,,,,,,
stony-brook,1392,,,North Dakota,north dakota,1315,,,,,,,,,,
suny albany,1107,,,UNC Wilmington,unc wilmington,1423,,,,,,,,,,
sw missouri st.,1283,,,High Point,high point,1219,,,,,,,,,,
syracuse,1393,,,Boston University,boston university,1131,,,,,,,,,,
tam c,1394,,,Florida Atlantic,florida atlantic,1194,,,,,,,,,,
tam c. christi,1394,,,Brown,brown,1135,,,,,,,,,,
tarleton st,1470,,,Mount St. Mary's,mount st. mary's,1291,,,,,,,,,,
Tarleton State,1470,,,Hampton,hampton,1214,,,,,,,,,,
tcu,1395,,,Army,army,1119,,,,,,,,,,
temple,1396,,,Cornell,cornell,1165,,,,,,,,,,
tenn-martin,1404,,,Gardner Webb,gardner webb,1205,,,,,,,,,,
tennessee,1397,,,Northern Illinois,northern illinois,1296,,,,,,,,,,
tennessee st,1398,,,Southern Utah,southern utah,1381,,,,,,,,,,
tennessee st.,1398,,,Pepperdine,pepperdine,1337,,,,,,,,,,
tennessee state,1398,,,Southeast Missouri St.,southeast missouri st.,1369,,,,,,,,,,
tennessee tech,1399,,,Portland,portland,1339,,,,,,,,,,
tennessee-chattanooga,1151,,,Drexel,drexel,1180,,,,,,,,,,
tennessee-martin,1404,,,Montana St.,montana st.,1286,,,,,,,,,,
tennessee-st,1398,,,Robert Morris,robert morris,1352,,,,,,,,,,
tennessee-state,1398,,,Texas Southern,texas southern,1411,,,,,,,,,,
tennessee-tech,1399,,,LIU Brooklyn,liu brooklyn,1254,,,,,,,,,,
tex.-pan american,1410,,,New Hampshire,new hampshire,1306,,,,,,,,,,
texas,1400,,,Charleston Southern,charleston southern,1149,,,,,,,,,,
texas a&m,1401,,,Arkansas St.,arkansas st.,1117,,,,,,,,,,
texas a&m cc,1394,,,Green Bay,green bay,1453,,,,,,,,,,
texas a&m corpus,1394,,,UMKC,umkc,1282,,,,,,,,,,
texas a&m-cc,1394,,,South Florida,south florida,1378,,,,,,,,,,
texas a&m-corpus christi,1394,,,Prairie View A&M,prairie view a&m,1341,,,,,,,,,,
texas arlington,1426,,,Abilene Christian,abilene christian,1101,,,,,,,,,,
texas christian,1395,,,UT Rio Grande Valley,ut rio grande valley,1410,,,,,,,,,,
texas rio grande valley,1410,,,Western Illinois,western illinois,1442,,,,,,,,,,
texas san antonio,1427,,,Santa Clara,santa clara,1365,,,,,,,,,,
texas southern,1411,,,North Florida,north florida,1316,,,,,,,,,,
texas st,1402,,,Nebraska Omaha,nebraska omaha,1303,,,,,,,,,,
texas st.,1402,,,Rice,rice,1349,,,,,,,,,,
texas state,1402,,,Holy Cross,holy cross,1221,,,,,,,,,,
texas tech,1403,,,Lafayette,lafayette,1248,,,,,,,,,,
texas-am,1401,,,Fordham,fordham,1200,,,,,,,,,,
texas-am-corpus-christi,1394,,,Quinnipiac,quinnipiac,1346,,,,,,,,,,
texas-arlington,1426,,,UMass Lowell,umass lowell,1262,,,,,,,,,,
texas-christian,1395,,,IUPUI,iupui,1237,,,,,,,,,,
texas-el paso,1431,,,Morehead St.,morehead st.,1287,,,,,,,,,,
texas-el-paso,1431,,,Siena,siena,1373,,,,,,,,,,
texas-pan american,1410,,,Eastern Kentucky,eastern kentucky,1184,,,,,,,,,,
texas-pan-american,1410,,,Fairleigh Dickinson,fairleigh dickinson,1192,,,,,,,,,,
texas-rio grande valley,1410,,,UC Riverside,uc riverside,1415,,,,,,,,,,
texas-san antonio,1427,,,New Orleans,new orleans,1309,,,,,,,,,,
texas-san antonio(ut,1427,,,McNeese St.,mcneese st.,1270,,,,,,,,,,
texas-san-antonio,1427,,,Tennessee Martin,tennessee martin,1404,,,,,,,,,,
texas-southern,1411,,,Samford,samford,1359,,,,,,,,,,
texas-st,1402,,,Sacramento St.,sacramento st.,1170,,,,,,,,,,
texas-state,1402,,,Binghamton,binghamton,1127,,,,,,,,,,
texas-tech,1403,,,Little Rock,little rock,1114,,,,,,,,,,
texasa&m,1401,,,Cleveland St.,cleveland st.,1156,,,,,,,,,,
the citadel,1154,,,San Jose St.,san jose st.,1363,,,,,,,,,,
the-citadel,1154,,,Central Connecticut,central connecticut,1148,,,,,,,,,,
tn martin,1404,,,SIU Edwardsville,siu edwardsville,1188,,,,,,,,,,
toledo,1405,,,Dartmouth,dartmouth,1171,,,,,,,,,,
towson,1406,,,Youngstown St.,youngstown st.,1464,,,,,,,,,,
troy,1407,,,East Carolina,east carolina,1187,,,,,,,,,,
troy st.,1407,,,Bethune Cookman,bethune cookman,1126,,,,,,,,,,
tulane,1408,,,Chattanooga,chattanooga,1151,,,,,,,,,,
tulsa,1409,,,Sacred Heart,sacred heart,1357,,,,,,,,,,
tx pan american,1410,,,Western Carolina,western carolina,1441,,,,,,,,,,
tx southern,1411,,,Marist,marist,1265,,,,,,,,,,
uab,1412,,,St. Francis NY,st. francis ny,1383,,,,,,,,,,
ualr,1114,,,Stetson,stetson,1391,,,,,,,,,,
uc davis,1413,,,Detroit,detroit,1178,,,,,,,,,,
uc irvine,1414,,,Grambling St.,grambling st.,1212,,,,,,,,,,
uc riverside,1415,,,Charlotte,charlotte,1150,,,,,,,,,,
uc san diego,1471,,,The Citadel,the citadel,1154,,,,,,,,,,
uc santa barb.,1364,,,Loyola MD,loyola md,1259,,,,,,,,,,
uc santa barbara,1364,,,Kennesaw St.,kennesaw st.,1244,,,,,,,,,,
uc-davis,1413,,,Savannah St.,savannah st.,1366,,,,,,,,,,
uc-irvine,1414,,,North Carolina Central,north carolina central,1300,,,,,,,,,,
uc-riverside,1415,,,North Carolina A&T,north carolina a&t,1299,,,,,,,,,,
uc-santa barbara,1364,,,American,american,1110,,,,,,,,,,
uc-santa-barbara,1364,,,Norfolk St.,norfolk st.,1313,,,,,,,,,,
ucf,1416,,,Jacksonville,jacksonville,1239,,,,,,,,,,
ucla,1417,,,Houston Baptist,houston baptist,1223,,,,,,,,,,
uconn,1163,,,Texas A&M Corpus Chris,texas a&m corpus chris,1394,,,,,,,,,,
ucsb,1364,,,Cal St. Northridge,cal st. northridge,1169,,,,,,,,,,
uic,1227,,,Morgan St.,morgan st.,1288,,,,,,,,,,
ull,1418,,,Southern,southern,1380,,,,,,,,,,
ulm,1419,,,USC Upstate,usc upstate,1367,,,,,,,,,,
umass,1269,,,Cal Poly,cal poly,1142,,,,,,,,,,
umass lowell,1262,,,Northern Arizona,northern arizona,1319,,,,,,,,,,
umass-lowell,1262,,,Maine,maine,1263,,,,,,,,,,
umbc,1420,,,Presbyterian,presbyterian,1342,,,,,,,,,,
umes,1271,,,Arkansas Pine Bluff,arkansas pine bluff,1115,,,,,,,,,,
umkc,1282,,,VMI,vmi,1440,,,,,,,,,,
unc,1314,,,Incarnate Word,incarnate word,1230,,,,,,,,,,
unc asheville,1421,,,Howard,howard,1224,,,,,,,,,,
unc greensboro,1422,,,Jackson St.,jackson st.,1238,,,,,,,,,,
unc wilmington,1423,,,Bryant,bryant,1136,,,,,,,,,,
unc-asheville,1421,,,Alcorn St.,alcorn st.,1108,,,,,,,,,,
uncg,1422,,,Longwood,longwood,1255,,,,,,,,,,
uncw,1423,,,Alabama St.,alabama st.,1106,,,,,,,,,,
uni,1320,,,South Carolina St.,south carolina st.,1354,,,,,,,,,,
university of california,1143,,,Northwestern St.,northwestern st.,1322,,,,,,,,,,
unlv,1424,,,Florida A&M,florida a&m,1197,,,,,,,,,,
usc,1425,,,Chicago St.,chicago st.,1152,,,,,,,,,,
usc upstate,1367,,,Coppin St.,coppin st.,1164,,,,,,,,,,
usc-upstate,1367,,,Mississippi Valley St.,mississippi valley st.,1290,,,,,,,,,,
ut arlington,1426,,,Maryland Eastern Shore,maryland eastern shore,1271,,,,,,,,,,
ut martin,1404,,,Alabama A&M,alabama a&m,1105,,,,,,,,,,
